Course Name,Instructor,Days,Class Time,Room,Subject,Course Number,Section,Attribute,CRN
MANAGERIAL COMMUNICATIONS,,Th,18:30 - 21:20,None None,BUSI,6312,01,,40551
GRADUATE BUSINESS INTERNSHIP,"Swid, Amr A",,13:00 - 15:50,None None,BUSI,6385,01,,40897
INTRO BUSINESS ANALYTICS &amp; R,"Xu, Chen",,09:00 - 11:50,TRUS 215,BANA,6310,01,,40545
DATA SUMMARIZATION &amp; VISUALIZATION,"Kim, Teddy",,13:00 - 15:50,TRUS 214,BANA,6312,01,,40546
PYTHON FOR BUSINESS ANALYTICS,,,13:00 - 15:50,TRUS 117,BANA,6320,01,,40547
BIG DATA &amp; DATABASE MANAGEMENT,"Jonnalagadda, Sri Akhil",,09:00 - 11:50,TRUS 117,BANA,6330,01,,40548
SIMULATION MODELING,,,09:00 - 11:50,TRUS 117,BANA,6350,01,,40549
ARTIFICIAL INTELLIGENCE &amp; MACHINE LEARNING,"Firouzi, Fatemeh",,09:00 - 11:50,TRUS 116,BANA,6352,01,,40550
CAREER MANAGEMENT STRATEGIES,"Rosa, Bradley Scott",Th,15:30 - 16:45,MOOD 300,CPAM,1110,01,REPEATABLE FOR DEGREE CREDIT,40266
LSAT PREPARATION,"Finfrock, Christopher Michael",,,None None,CPAM,1110,02,REPEATABLE FOR DEGREE CREDIT,40267
MCAT PREPARATION,"Finfrock, Christopher Michael",,,None None,CPAM,1110,03,REPEATABLE FOR DEGREE CREDIT,40268
CAREER PLANNING &amp; MANAGEMENT INTERNSHIP,"Vanderlinden, Sydney",,,None None,CPAM,4150,01,"INTERNSHIP, REPEATABLE FOR DEGREE CREDIT, TRAVEL-DOMESTIC",40269
CAREER PLANNING &amp; MANAGEMENT INTERNSHIP,"Vanderlinden, Sydney",,,None None,CPAM,4250,01,"INTERNSHIP, REPEATABLE FOR DEGREE CREDIT, TRAVEL-DOMESTIC",40270
CAREER PLANNING &amp; MANAGEMENT INTERNSHIP,"Vanderlinden, Sydney",,,None None,CPAM,4350,01,"INTERNSHIP, REPEATABLE FOR DEGREE CREDIT, TRAVEL-DOMESTIC",40271
INTRODUCTION TO CATHOLICISM,"Scruggs, Mathew","M, W, F",10:00 - 10:50,TRUS 104,CATH,1316,01,"EXCHANGE ELIGIBLE, GE MM EXP LEARNING SOC JUSTICE, GE STUDIES IN THEO &amp; RELIGION, AEL SERVICE LEARNING",40305
INTRODUCTION TO CATHOLICISM,"Scruggs, Mathew","M, W, F",11:00 - 11:50,TRUS 104,CATH,1316,02,"EXCHANGE ELIGIBLE, GE MM EXP LEARNING SOC JUSTICE, GE STUDIES IN THEO &amp; RELIGION, AEL SERVICE LEARNING",40306
INTRODUCTION TO CATHOLICISM,"Montgomery-Goodnough, Angelique","T, Th",08:00 - 09:15,TRUS 104,CATH,1316,03,"EXCHANGE ELIGIBLE, GE MM EXP LEARNING SOC JUSTICE, GE STUDIES IN THEO &amp; RELIGION, AEL SERVICE LEARNING",40307
"JUSTICE, PEACE AND LIBERATION","Scruggs, Mathew","T, Th",12:30 - 13:45,TRUS 303,CATH,2323,01,"EXCHANGE ELIGIBLE, GE MM EXP LEARNING SOC JUSTICE, GE STUDIES IN THEO &amp; RELIGION, AEL SERVICE LEARNING",40308
"JUSTICE, PEACE AND LIBERATION","Scruggs, Mathew","T, Th",15:30 - 16:45,TRUS 116,CATH,2323,02,"EXCHANGE ELIGIBLE, GE MM EXP LEARNING SOC JUSTICE, GE STUDIES IN THEO &amp; RELIGION, AEL SERVICE LEARNING",40309
SENIOR SEMINAR IN CATHOLIC STUDIES,"Bautch, Richard J.","T, Th",09:30 - 10:45,HOLY 402,CATH,4342,01,"EXCHANGE ELIGIBLE, GE MM WRITING RICH - UPPER, REPEATABLE FOR DEGREE CREDIT, RESEARCH",40310
GENERAL CHEMISTRY LAB,,M,14:00 - 16:50,JBWN 205,CHEM,1140,01,"EXCHANGE ELIGIBLE, GE NATURAL SCIENCES",40720
GENERAL CHEMISTRY LAB,,T,14:00 - 16:50,JBWN 205,CHEM,1140,02,"EXCHANGE ELIGIBLE, GE NATURAL SCIENCES",40721
GENERAL CHEMISTRY LAB,"Paul, Debamita",T,08:00 - 10:50,JBWN 209,CHEM,1140,03,"EXCHANGE ELIGIBLE, GE NATURAL SCIENCES",40722
GENERAL CHEMISTRY LAB,,T,14:00 - 16:50,JBWN 209,CHEM,1140,04,"EXCHANGE ELIGIBLE, GE NATURAL SCIENCES",40723
GENERAL CHEMISTRY LAB,,T,17:30 - 20:20,JBWN 209,CHEM,1140,05,"EXCHANGE ELIGIBLE, GE NATURAL SCIENCES",40724
GENERAL CHEMISTRY LAB,"Burnett, Christopher Aquila",W,14:00 - 16:50,JBWN 209,CHEM,1140,06,"EXCHANGE ELIGIBLE, GE NATURAL SCIENCES",40725
GENERAL CHEMISTRY LAB,"Paul, Debamita",Th,08:00 - 10:50,JBWN 209,CHEM,1140,07,"EXCHANGE ELIGIBLE, GE NATURAL SCIENCES",40726
GENERAL CHEMISTRY LAB,,Th,14:00 - 16:50,JBWN 209,CHEM,1140,08,"EXCHANGE ELIGIBLE, GE NATURAL SCIENCES",40727
GENERAL CHEMISTRY LAB,,Th,17:30 - 20:20,JBWN 209,CHEM,1140,09,"EXCHANGE ELIGIBLE, GE NATURAL SCIENCES",40728
GENERAL CHEMISTRY,"Paul, Debamita","T, Th",11:00 - 12:15,MOOD 206,CHEM,1340,01,"EXCHANGE ELIGIBLE, GE NATURAL SCIENCES",40729
GENERAL CHEMISTRY,"Kopecki-Fjetland, Mary A.","M, W, F",13:00 - 13:50,JBWN 206,CHEM,1340,02,"EXCHANGE ELIGIBLE, GE NATURAL SCIENCES",40730
GENERAL CHEMISTRY,"Price, Skyler Elaine","M, W, F",10:00 - 10:50,JBWN 206,CHEM,1340,03,"EXCHANGE ELIGIBLE, GE NATURAL SCIENCES",40731
GENERAL CHEMISTRY,,"M, W, F",11:00 - 11:50,MOOD 304,CHEM,1340,04,"EXCHANGE ELIGIBLE, GE NATURAL SCIENCES",40732
GENERAL CHEMISTRY,"Kopecki-Fjetland, Mary A.","M, W, F",10:00 - 10:50,JBWS 165,CHEM,1340,05,"EXCHANGE ELIGIBLE, GE NATURAL SCIENCES",40733
GENERAL CHEMISTRY II LAB,"Burnett, Christopher Aquila",M,14:00 - 16:50,JBWN 209,CHEM,2120,01,,40734
ORGANIC CHEMISTRY I LAB,,T,08:00 - 10:50,JBWN 109,CHEM,2123,01,,40735
ORGANIC CHEMISTRY I LAB,,T,14:00 - 16:50,JBWN 109,CHEM,2123,02,,40736
ORGANIC CHEMISTRY I LAB,,W,14:00 - 16:50,JBWN 109,CHEM,2123,03,,40737
ORGANIC CHEMISTRY I LAB,,W,08:00 - 10:50,JBWN 109,CHEM,2123,04,,40738
GENERAL CHEMISTRY II,"Burnett, Christopher Aquila","M, W, F",10:00 - 10:50,MOOD 204,CHEM,2320,01,,40739
ORGANIC CHEMISTRY I,"Healy, Eamonn F.","M, W, F",12:00 - 12:50,JBWN 206,CHEM,2323,01,,40740
ORGANIC CHEMISTRY I,"Price, Skyler Elaine","T, Th",09:30 - 10:45,JBWN 206,CHEM,2323,02,,40741
ORGANIC CHEMISTRY I,"Price, Skyler Elaine","T, Th",11:00 - 12:15,JBWN 206,CHEM,2323,03,,40742
ORGANIC CHEMISTRY I,"Burnett, Christopher Aquila","M, W, F",11:00 - 11:50,MOOD 204,CHEM,2323,04,,40743
ORGANIC CHEMISTRY II LAB,,Th,14:00 - 16:50,JBWN 109,CHEM,3125,01,,40744
ORGANIC CHEMISTRY II,"Healy, Eamonn F.","M, W, F",13:00 - 13:50,JBWN 204,CHEM,3325,01,,40745
BIOCHEMISTRY I,"Healy, Eamonn F.","M, W, F",11:00 - 11:50,JBWN 206,CHEM,3343,01,,40746
BIOCHEMISTRY I,"Kopecki-Fjetland, Mary A.","M, W, F",11:00 - 11:50,JBWS 165,CHEM,3343,02,,40884
INSTRUMENTAL ANALYSIS LAB,"Reyna, Jackson",W,14:00 - 16:50,JBWN 204,CHEM,4142,01,,40747
RESEARCH IN CHEMISTRY,"Healy, Eamonn F.",,,None None,CHEM,4157,01,"INTERNSHIP, REPEATABLE FOR DEGREE CREDIT, RESEARCH",40748
RESEARCH IN CHEMISTRY,"Kopecki-Fjetland, Mary A.",,,None None,CHEM,4157,02,"INTERNSHIP, REPEATABLE FOR DEGREE CREDIT, RESEARCH",40749
RESEARCH IN CHEMISTRY,"Burnett, Christopher Aquila",,,None None,CHEM,4157,03,"INTERNSHIP, REPEATABLE FOR DEGREE CREDIT, RESEARCH",40750
RESEARCH IN CHEMISTRY,"Paul, Debamita",,,None None,CHEM,4157,04,"INTERNSHIP, REPEATABLE FOR DEGREE CREDIT, RESEARCH",40751
RESEARCH IN CHEMISTRY,"Price, Skyler Elaine",,,None None,CHEM,4157,05,"INTERNSHIP, REPEATABLE FOR DEGREE CREDIT, RESEARCH",40752
INSTRUMENTAL ANALYSIS,"Reyna, Jackson","T, Th",12:30 - 13:45,JBWN 206,CHEM,4342,01,,40753
INTRODUCTION TO CHICANX AND LATINX STUDIES,,"M, W, F",10:00 - 10:50,JBWS 163,CHLX,1302,01,"EXCHANGE ELIGIBLE, GE DIVERSE AMERICAN PERSPECTVS",40311
THE U.S.-MEXICO BORDERLANDS,,"M, W, F",13:00 - 13:50,JBWS 266,CHLX,2315,01,,40312
INTRODUCTION TO COMMUNICATION,"Varner, Teri Lynn","M, W, F",12:00 - 12:50,TRUS 117,COMM,1306,01,"EXCHANGE ELIGIBLE, GE MM SOCIAL IDENTITIES",40314
INTRODUCTION TO COMMUNICATION,,"M, W, F",13:00 - 13:50,LIBR 143,COMM,1306,02,"EXCHANGE ELIGIBLE, GE MM SOCIAL IDENTITIES",40315
PRESENTATIONAL SPEAKING,"Garza, Teresita","T, Th",11:00 - 12:15,JBWS 186,COMM,1317,01,"EXCHANGE ELIGIBLE, GE ORAL COMMUNICATION",40316
PRESENTATIONAL SPEAKING,"Garza, Teresita","T, Th",12:30 - 13:45,JBWS 186,COMM,1317,02,"EXCHANGE ELIGIBLE, GE ORAL COMMUNICATION",40317
PRESENTATIONAL SPEAKING,,"M, W, F",11:00 - 11:50,JBWS 266,COMM,1317,03,"EXCHANGE ELIGIBLE, GE ORAL COMMUNICATION",40318
PRESENTATIONAL SPEAKING,,"M, W, F",13:00 - 13:50,TRUS 203,COMM,1317,04,"EXCHANGE ELIGIBLE, GE ORAL COMMUNICATION",40319
PRESENTATIONAL SPEAKING,"Varner, Teri Lynn","M, W, F",13:00 - 13:50,TRUS 117,COMM,1317,05,"EXCHANGE ELIGIBLE, GE ORAL COMMUNICATION",40320
PRESENTATIONAL SPEAKING,,"M, W, F",12:00 - 12:50,JBWN 204,COMM,1317,06,"EXCHANGE ELIGIBLE, GE ORAL COMMUNICATION",40321
PRESENTATIONAL SPEAKING,"Reiter-Salisbury, Nancy Ann","M, W, F",09:00 - 09:50,TRUS 216,COMM,1317,07,"EXCHANGE ELIGIBLE, GE ORAL COMMUNICATION",40322
PRESENTATIONAL SPEAKING,"Reiter-Salisbury, Nancy Ann","M, W, F",10:00 - 10:50,TRUS 216,COMM,1317,08,"EXCHANGE ELIGIBLE, GE ORAL COMMUNICATION",40323
PRESENTATIONAL SPEAKING,"Martinez, Stephanie Jo Poole","T, Th",11:00 - 12:15,JBWS 264,COMM,1317,09,"EXCHANGE ELIGIBLE, GE ORAL COMMUNICATION",40324
PRESENTATIONAL SPEAKING,,"T, Th",17:00 - 18:15,TRUS 214,COMM,1317,10,"EXCHANGE ELIGIBLE, GE ORAL COMMUNICATION",40325
PRESENTATIONAL SPEAKING,,"M, W, F",10:00 - 10:50,JBWS 366,COMM,1317,11,"EXCHANGE ELIGIBLE, GE ORAL COMMUNICATION",40326
PRESENTATIONAL SPEAKING,,"M, W, F",11:00 - 11:50,JBWS 361,COMM,1317,12,"EXCHANGE ELIGIBLE, GE ORAL COMMUNICATION",40327
PRESENTATIONAL SPEAKING,,"T, Th",09:30 - 10:45,JBWS 186,COMM,1317,13,"EXCHANGE ELIGIBLE, GE ORAL COMMUNICATION",40328
COMMUNICATION RESEARCH METHODS,"King, Stephen A","T, Th",09:30 - 10:45,JBWS 161,COMM,2301,01,,40329
COMMUNICATION THEORY,"Garza, Teresita","M, W",14:00 - 15:15,JBWS 186,COMM,2302,01,EXCHANGE ELIGIBLE,40330
VISUAL COMMUNICATION,"Wilt, Randolph Ray",,,None None,COMM,2305,01,,40331
INTERPERSONAL COMMUNICATION,"Peterson, Lori A.","M, W, F",11:00 - 11:50,JBWS 163,COMM,2312,01,"EXCHANGE ELIGIBLE, GE MM SOCIAL IDENTITIES",40332
ACTIVE LISTENING,"Varner, Teri Lynn","M, W, F",10:00 - 10:50,TRUS 116,COMM,2357,01,GE MM SOCIAL IDENTITIES,40333
INTRO TO PUBLIC RELATIONS &amp; ADVERTISING,"Reiter-Salisbury, Nancy Ann","M, W, F",11:00 - 11:50,TRUS 216,COMM,2365,01,"EXCHANGE ELIGIBLE, GE MM SOCIAL IDENTITIES",40334
SPECIAL TOPICS IN COMM: GENERATIONAL COMMUNICATION,"Peterson, Lori A.","M, W, F",12:00 - 12:50,JBWS 163,COMM,2399,01,REPEATABLE FOR DEGREE CREDIT,40335
HEALTH COMMUNICATION,"Martinez, Stephanie Jo Poole","T, Th",14:00 - 15:15,JBWS 163,COMM,3308,01,,40336
RHETORICAL CRITICISM,"King, Stephen A","T, Th",14:00 - 15:15,JBWS 363,COMM,3333,01,"GE MM SOCIAL IDENTITIES, GE MM WRITING RICH - UPPER",40337
INTERCULTURAL COMMUNICATION,"Peterson, Lori A.","T, Th",09:30 - 10:45,JBWS 264,COMM,3344,01,"GE GLOBAL PERSPECTIVES, GE MM SOCIAL IDENTITIES",40338
INTERCULTURAL COMMUNICATION,"Peterson, Lori A.","T, Th",12:30 - 13:45,JBWS 363,COMM,3344,02,"GE GLOBAL PERSPECTIVES, GE MM SOCIAL IDENTITIES",40339
INTEGRATED COMM MANAGEMENT,"Christopher, David Alan","M, W",14:00 - 15:15,MOOD 302,COMM,3358,01,,40340
SPORTS COMMUNICATION,"Martinez, Stephanie Jo Poole","M, W",14:00 - 15:15,JBWS 163,COMM,3372,01,,40341
PUBLIC RELATIONS &amp; ADVERTISING IN A DIGITAL WORLD,"Teegardin, Allison","T, Th",17:00 - 18:15,None None,COMM,3376,01,,40342
PR FOR NONPROFIT ORGANIZATIONS,"Reiter-Salisbury, Nancy Ann","M, W",15:30 - 16:45,TRUS 118,COMM,4326,01,"AEL CREATIVE WORKS, GE MM EXP LEARNING SOC JUSTICE",40343
INTERNSHIP IN COMMUNICATION,"Garza, Teresita",,,None None,COMM,4350,01,"INTERNSHIP, REPEATABLE FOR DEGREE CREDIT, TRAVEL-DOMESTIC",40344
RHETORIC OF TOURISM,"King, Stephen A","T, Th",11:00 - 12:15,JBWS 161,COMM,4379,01,,40345
INTRO TO LANGUAGE &amp; CULTURE,"Seminet, Philippe Pascal","T, Th",11:00 - 12:15,MOOD 304,CLLC,1310,01,"EXCHANGE ELIGIBLE, GE GLOBAL PERSPECTIVES, ZERO-COST COURSE MATERIALS",40313
COMPUTING SCIENCE CONCEPTS I,"Avery, Megan Elizabeth","M, W",14:00 - 15:15,JBWS 264,COSC,1423,01,EXCHANGE ELIGIBLE,40754
COMPUTING SCIENCE CONCEPTS I,"Avery, Megan Elizabeth","T, Th",12:30 - 13:45,JBWS 165,COSC,1423,02,EXCHANGE ELIGIBLE,40755
WEB PROGRAMMING,"McCurry, Jonn D.","T, Th",15:30 - 16:45,JBWS 262,COSC,2328,01,,40756
COMPONENT-BASED PROGRAMMING,"Kart, Michael U.","M, W, F",12:00 - 12:50,JBWS 262,COSC,2329,01,,40757
COMPONENT-BASED PROGRAMMING,"Kart, Michael U.","M, W, F",13:00 - 13:50,JBWS 262,COSC,2329,02,,40758
COMPUTER NETWORKS,,"T, Th",14:00 - 15:15,JBWS 165,COSC,2364,01,,40874
COMPUTING SCIENCE CONCEPTS II,"Avery, Megan Elizabeth","T, Th",09:30 - 10:45,JBWS 262,COSC,2425,01,,40759
MOBILE PROGRAMMING,"Shebaro, Bilal","T, Th",11:00 - 12:15,JBWS 262,COSC,3326,01,,40760
ALGORITHMS AND DATA STRUCTURES,"Kart, Michael U.","T, Th",12:30 - 13:45,JBWS 262,COSC,3327,01,,40761
DATABASE THEORY &amp; APPLICATIONS,,"M, W",15:30 - 16:45,JBWS 266,COSC,3337,01,,40763
SOFTWARE ENGINEERING,"Michaels, Ryan Paul","T, Th",12:30 - 13:45,JBWS 264,COSC,3339,01,RESEARCH,40764
INTRO ARTIFICIAL INTELLIGENCE,"Atkinson, Gentry","T, Th",09:30 - 10:45,JBWS 165,COSC,3340,01,,40765
INTRODUCTION TO CYBERSECURITY,"Shebaro, Bilal","T, Th",14:00 - 15:15,JBWS 262,COSC,3343,01,,40766
INTRO DATA MINING &amp; ANALYSIS,"Atkinson, Gentry","M, W",15:30 - 16:45,JBWS 262,COSC,3352,01,,40767
NETWORK SECURITY,"McCurry, Jonn D.","M, W",15:30 - 16:45,JBWS 264,COSC,3353,01,,40768
RESEARCH IN COMPUTER SCIENCE,"Michaels, Ryan Paul",,,None None,COSC,4157,01,"INTERNSHIP, REPEATABLE FOR DEGREE CREDIT, RESEARCH",40769
COMPUTER VISION,"Atkinson, Gentry","M, W",14:00 - 15:15,JBWS 262,COSC,4358,01,,40770
TOPICS IN CYBERSECURITY,,"M, W",14:00 - 15:15,JBWS 266,COSC,4365,01,,40773
ADVANCED ALGORITHMS,"Michaels, Ryan Paul","T, Th",15:30 - 16:45,JBWS 165,COSC,4367,01,,40774
UNDERGRADUATE RESEARCH &amp; DEVEL,"Michaels, Ryan Paul","M, W, F",10:00 - 10:50,JBWS 186,COSC,4380,01,,40872
UNDERGRADUATE RESEARCH &amp; DEVEL,"McCurry, Jonn D.","M, W, F",10:00 - 10:50,JBWS 186,COSC,4380,02,,40873
INTRODUCTION TO CRIMINAL JUSTICE,"Gutierrez, Vanessa Jesenia","T, Th",11:00 - 12:15,TRUS 116,CRIJ,1302,01,GE DIVERSE AMERICAN PERSPECTVS,40078
INTRODUCTION TO CRIMINAL JUSTICE,"Lopez, Juan Francisco","M, W, F",10:00 - 10:50,DOYL 130,CRIJ,1302,02,GE DIVERSE AMERICAN PERSPECTVS,40079
CRIMINAL LAW,"Lopez, Juan Francisco","M, W, F",12:00 - 12:50,TRUS 116,CRIJ,1310,01,,40080
AMERICAN COURT SYSTEM,"Andresen, Warren Carsten","M, W",14:00 - 15:15,TRUS 116,CRIJ,2306,01,,40081
CORRECTIONS,"Andresen, Warren Carsten","M, W, F",10:00 - 10:50,TRUS 214,CRIJ,2313,01,,40082
AMERICAN LAW ENFORCEMENT,"Gutierrez, Vanessa Jesenia","M, W, F",11:00 - 11:50,TRUS 116,CRIJ,2328,01,,40083
CRIMINOLOGY,"Lopez, Juan Francisco","T, Th",11:00 - 12:15,DOYL 130,CRIJ,2336,01,GE MM SOCIAL IDENTITIES,40084
CRIMINAL EVIDENCE AND PROOF,"Lopez, Juan Francisco","M, W, F",09:00 - 09:50,DOYL 130,CRIJ,3325,01,,40085
RESEARCH METHODS IN CRIMINAL JUSTICE,"Cabage, LeAnn Nicole","T, Th",14:00 - 15:15,MOOD 203,CRIJ,3330,01,"GE MM WRITING RICH - UPPER, RESEARCH",40086
VICTIMOLOGY,"Andresen, Warren Carsten","T, Th",15:30 - 16:45,DOYL 134,CRIJ,3331,01,"GE MM SOCIAL IDENTITIES, ISP CRITICAL THINKING, ISP SOCIAL JUSTICE",40087
DRUGS AND CRIME,"Cabage, LeAnn Nicole","M, W",15:30 - 16:45,TRUS 116,CRIJ,3352,01,ISP CRITICAL THINKING,40088
COMPARATIVE LEGAL SYSTEMS,"Andresen, Warren Carsten","M, W, F",13:00 - 13:50,TRUS 116,CRIJ,4341,01,ISP GLOBAL UNDERSTANDING,40089
CONTEMPORARY ISSUES IN CRIMINAL JUSTICE,"Gutierrez, Vanessa Jesenia","T, Th",09:30 - 10:45,TRUS 116,CRIJ,4345,01,"GE MM SOCIAL IDENTITIES, GE MM WRITING RICH - UPPER",40090
GALACTIC JUSTICE: LAW &amp; ORDER IN STAR WARS,"Cabage, LeAnn Nicole","T, Th",12:30 - 13:45,MOOD 203,CRIJ,4349,01,REPEATABLE FOR DEGREE CREDIT,40091
INTERNSHIP IN CRIMINAL JUSTICE,"Cabage, LeAnn Nicole",,,None None,CRIJ,4350,01,"GE MM EXP LEARNING SOC JUSTICE, INTERNSHIP, REPEATABLE FOR DEGREE CREDIT, TRAVEL-DOMESTIC",40092
ADVANCED INTERNSHIP,"Cabage, LeAnn Nicole",,,None None,CRIJ,4370,01,"INTERNSHIP, TRAVEL-DOMESTIC",40093
DISSERTATION WRITING SEMINAR,"Loughmiller, Leslie L.",,,None None,LHER,7330,01,,40072
"DISSERTATION RESEARCH: IMPLEMENTATION, ANALYSIS, DEFENSE","Keeney, Hunter",,,None None,LHER,7628,01,,40073
BEGINNING BALLET I,"Dolan, Alyson Holland","M, W",09:00 - 10:15,ARTS 141,DANC,1141,01,REPEATABLE FOR DEGREE CREDIT,40346
BEGINNING MODERN DANCE,"Dolan, Alyson Holland","M, W",11:00 - 12:15,RECC 350,DANC,2145,01,REPEATABLE FOR DEGREE CREDIT,40347
PRINCIPLES OF DIGITAL MEDIA AND ENTERTAINMENT,,"M, W",14:00 - 15:15,MOOD 208,BDMM,2301,01,EXCHANGE ELIGIBLE,40575
DIGITAL MEDIA ENTERPRISE CREATION,"Lorenz, Thomas","T, Th",12:30 - 13:45,TRUS 205,BDMM,3332,01,,40576
INTERACTIVE TECHNOLOGY,,,,None None,BDMM,3334,01,,40577
DIGITAL MEDIA PRODUCTION PLANNING,"Brunner, Frances Inez","T, Th",17:00 - 18:15,TRUS 303,BDMM,3338,01,,40578
INTRO TO DIGITAL STORYTELLING &amp; CONTENT CREATION,"Heath, Jennifer Ann","T, Th",12:30 - 13:45,MOOD 212,DSCC,1301,01,AEL CREATIVE WORKS,40348
TOPICS IN DIGITAL STORYTELLING,"Beier, Christopher Clive","T, Th",11:00 - 12:15,TRUS 118,DSCC,1399,01,REPEATABLE FOR DEGREE CREDIT,40894
AUDIO STORYTELLING I,"Largey, Matthew",M,18:30 - 21:20,LIBR 115,DSCC,2312,01,AEL CREATIVE WORKS,40349
MICROECONOMICS: PRINCIPLES OF MARKET ANALYSIS,"Xu, Chen","M, W",14:00 - 15:15,TRUS 203,ECON,2301,01,EXCHANGE ELIGIBLE,40611
MICROECONOMICS: PRINCIPLES OF MARKET ANALYSIS,"Xu, Chen","M, W",15:30 - 16:45,TRUS 203,ECON,2301,02,EXCHANGE ELIGIBLE,40612
MACROECONOMICS: MONEY &amp; MARKET,"Ahmed, Haydory Akbar","T, Th",09:30 - 10:45,TRUS 303,ECON,2302,01,"EXCHANGE ELIGIBLE, GE GLOBAL PERSPECTIVES",40613
MACROECONOMICS: MONEY &amp; MARKET,"Ahmed, Haydory Akbar","T, Th",11:00 - 12:15,TRUS 303,ECON,2302,02,"EXCHANGE ELIGIBLE, GE GLOBAL PERSPECTIVES",40614
MICROECONOMIC THEORY,"Blanke, Leslie Loftus","T, Th",12:30 - 13:45,TRUS 116,ECON,3301,01,,40615
INTERNATIONAL TRADE &amp; FINANCE,"Ahmed, Haydory Akbar","T, Th",14:00 - 15:15,TRUS 117,ECON,3336,01,,40617
PUBLIC FINANCE,"Ahmed, Haydory Akbar","T, Th",15:30 - 16:45,TRUS 117,ECON,3399,01,REPEATABLE FOR DEGREE CREDIT,40616
"SCHOOLING, EDUCATION &amp; SOCIETY","Sloan, Kris","M, W",14:00 - 15:15,MOOD 212,EDUC,1330,01,"GE DIVERSE AMERICAN PERSPECTVS, TRAVEL-DOMESTIC",40094
LEARNING PROCESSES &amp; EVALUATION,"Sloan, Kris",,,None None,EDUC,2331,01,"GE MM SOCIAL IDENTITIES, TRAVEL-DOMESTIC",40878
EDUCATIONAL TECHNOLOGY INTEGRATION,"Johnson, Brittney","T, Th",17:00 - 18:15,TRUS 215,EDUC,2332,01,TRAVEL-DOMESTIC,40095
AMERICAN SIGN LANGUAGE I,"Gember, Corey James","M, W",14:00 - 15:15,MOOD 211,EDUC,3399,01,REPEATABLE FOR DEGREE CREDIT,40096
CURRICULUM AND EVALUATION IN THE SECONDARY SCHOOL,"Sloan, Kris","T, Th",09:30 - 10:45,MOOD 212,EDUC,4334,01,TRAVEL-DOMESTIC,40097
STUDENT TEACHING SEMINAR-SECONDARY,,T,18:30 - 21:20,DOYL 134,EDUC,4359,01,"GE MM EXP LEARNING SOC JUSTICE, GE MM WRITING RICH - UPPER, TRAVEL-DOMESTIC",40098
STUDENT TEACHING INTERNSHIP,,,,None None,EDUC,4361,01,"GE MM EXP LEARNING SOC JUSTICE, GE MM WRITING RICH - UPPER, INTERNSHIP, TRAVEL-DOMESTIC",40099
INTERNSHIP - NON-CERTIFICATION,"Fletcher, Steven S.",,,None None,EDUC,4365,01,"GE MM EXP LEARNING SOC JUSTICE, INTERNSHIP, TRAVEL-DOMESTIC",40100
INTRODUCTION TO LITERARY STUDIES,"Flynn, Christopher Bayton","M, W",14:00 - 15:15,MOOD 200,ENGL,2300,01,"EXCHANGE ELIGIBLE, GE EXPLORING ARTISTIC WORKS",40351
LGBT LITERATURE &amp; POP CULTURE: FOCUS ON FILM,"Barron, Alexandra Lynn","M, W",14:00 - 15:15,JBWS 366,ENGL,2315,01,GE EXPLORING ARTISTIC WORKS,40352
LGBT LITERATURE &amp; POP CULTURE: FOCUS ON FILM,"Barron, Alexandra Lynn","M, W",15:30 - 16:45,JBWS 366,ENGL,2315,02,GE EXPLORING ARTISTIC WORKS,40353
LITERATURE AND FILM,"Flynn, Christopher Bayton","T, Th",12:30 - 13:45,MOOD 200,ENGL,2317,01,GE EXPLORING ARTISTIC WORKS,40354
INTRO TO BRITISH LITERATURE,"Sheerin, Brian J","M, W, F",10:00 - 10:50,JBWS 363,ENGL,2322,01,"EXCHANGE ELIGIBLE, GE EXPLORING ARTISTIC WORKS",40355
ARTHUIAN FANTASY,"Sheerin, Brian J","M, W, F",12:00 - 12:50,TRUS 215,ENGL,2324,01,"GE EXPLORING ARTISTIC WORKS, GE MM WRITING RICH - LOWER, REPEATABLE FOR DEGREE CREDIT",40356
BANNED BOOKS,"Barron, Alexandra Lynn","T, Th",11:00 - 12:15,TRUS 112,ENGL,2324,02,"EXCHANGE ELIGIBLE, GE EXPLORING ARTISTIC WORKS, GE MM WRITING RICH - LOWER, REPEATABLE FOR DEGREE CREDIT",40357
FANTASY LITERATURE - MEDIEVAL TO MODERN,"Sheerin, Brian J","M, W, F",13:00 - 13:50,TRUS 215,ENGL,2324,03,"EXCHANGE ELIGIBLE, GE EXPLORING ARTISTIC WORKS, GE MM WRITING RICH - LOWER, REPEATABLE FOR DEGREE CREDIT",40358
THE BOOK OF LOVE,"Altimont, Alan J.","M, W, F",10:00 - 10:50,MOOD 202,ENGL,2324,04,"EXCHANGE ELIGIBLE, GE EXPLORING ARTISTIC WORKS, GE MM WRITING RICH - LOWER, REPEATABLE FOR DEGREE CREDIT",40359
THE BOOK OF LOVE,"Altimont, Alan J.","T, Th",12:30 - 13:45,MOOD 208,ENGL,2324,05,"EXCHANGE ELIGIBLE, GE EXPLORING ARTISTIC WORKS, GE MM WRITING RICH - LOWER, REPEATABLE FOR DEGREE CREDIT",40360
TOPICS IN LITERATURE,"Flynn, Christopher Bayton","T, Th",14:00 - 15:15,MOOD 200,ENGL,2324,06,"GE EXPLORING ARTISTIC WORKS, GE MM WRITING RICH - LOWER, REPEATABLE FOR DEGREE CREDIT",40361
